TeamID,Team,Region,Country,Track,Division,Size,Status,Year,Section,Medal,Finalist,Winner
1303,biYOLOgists,North America,United States,,High_school,7,Accepted,2014,IGEM,blocked,0,0
999,BJHS_Madison_AL,North America,United States,,High_school,16,Accepted,2013,IGEM,blocked,0,0
2833,BJRS_China,Asia,China,High School,High_school,11,Accepted,2018,High_school,gold,0,0
2028,BNDS_China,Asia,China,High School,High_school,15,Accepted,2016,High_school,bronze,0,0
2326,BNDS_China,Asia,China,High School,High_school,15,Accepted,2017,High_school,gold,0,0
2548,BNDS_CHINA,Asia,China,High School,High_school,20,Accepted,2018,High_school,silver,0,0
1405,BNU-China,Asia,China,Environment,Collegiate,24,Accepted,2014,Undergrad,gold,0,0
1660,BNU-CHINA,Asia,China,Environment,Collegiate,33,Accepted,2015,Undergrad,silver,0,0
1891,BNU-China,Asia,China,Foundational Advance,Collegiate,26,Accepted,2016,Undergrad,gold,0,0
2220,BNU-China,Asia,China,Foundational Advance,Collegiate,30,Accepted,2017,Undergrad,bronze,0,0
2717,BNU-China,Asia,China,Foundational Advance,Collegiate,37,Accepted,2018,Undergrad,silver,0,0
2294,BOKU-Vienna,Europe,Austria,Foundational Advance,Collegiate,21,Accepted,2017,Overgrad,silver,0,0
2670,BOKU-Vienna,Europe,Austria,Information Processing,Collegiate,16,Accepted,2018,Overgrad,bronze,0,0
63,Bologna,Europe,Italy,Foundational Research,Collegiate,13,Accepted,2007,IGEM,gold,0,0
79,Bologna,Europe,Italy,,Collegiate,16,Accepted,2008,IGEM,bronze,0,0
201,Bologna,Europe,Italy,Foundational Advance,Collegiate,15,Accepted,2009,IGEM,gold,0,0
820,Bonn,Europe,Germany,Foundational Advance,Collegiate,17,Accepted,2012,IGEM,bronze,0,0
1075,Bonn,Europe,Germany,Foundational Advance,Collegiate,28,Accepted,2013,Overgrad,bronze,0,0
848,Bordeaux,Europe,France,Foundational Advance,Collegiate,11,Accepted,2012,IGEM,bronze,0,0
1148,Bordeaux,Europe,France,Food & Energy,Collegiate,27,Accepted,2013,Overgrad,none,0,0
1317,Bordeaux,Europe,France,Manufacturing,Collegiate,25,Accepted,2014,Overgrad,bronze,0,0
1686,Bordeaux,Europe,France,Environment,Collegiate,24,Accepted,2015,Overgrad,gold,0,0
1935,Bordeaux,Europe,France,Therapeutics,Collegiate,23,Accepted,2016,Overgrad,bronze,0,0
